16	16_paypal_PayPal - People Rule 30 Second TV Commercial.mp4	277	https://cognitivestudy.blob.core.windows.net/videos/16_paypal_PayPal - People Rule 30 Second TV Commercial.mp4	30020	Title+Desc+16_paypal_PayPal - People Rule 30 Second TV Commercial.mp4
17	17_cleveland clinic_Cleveland Clinic Bariatric Surgery.mp4	223	https://cognitivestudy.blob.core.windows.net/videos/17_cleveland clinic_Cleveland Clinic Bariatric Surgery.mp4	30000	Title+Desc+17_cleveland clinic_Cleveland Clinic Bariatric Surgery.mp4
18	18_pepsi_PEPSI FOR THE LOVE OF IT NOW UNITED JINGLE.mp4	142	https://cognitivestudy.blob.core.windows.net/videos/18_pepsi_PEPSI FOR THE LOVE OF IT NOW UNITED JINGLE.mp4	18230	Title+Desc+18_pepsi_PEPSI FOR THE LOVE OF IT NOW UNITED JINGLE.mp4
19	19_glossier_Swiss Miss™ Balm Dotcom _ Glossier.mp4	258	https://cognitivestudy.blob.core.windows.net/videos/19_glossier_Swiss Miss™ Balm Dotcom _ Glossier.mp4	15120	Title+Desc+19_glossier_Swiss Miss™ Balm Dotcom _ Glossier.mp4
20	20_walmart_Don't Miss Out.mp4	55	https://cognitivestudy.blob.core.windows.net/videos/20_walmart_Don't Miss Out.mp4	30050	Title+Desc+20_walmart_Don't Miss Out.mp4
21	21_burberry_My Burberry Fragrances.mp4	275	https://cognitivestudy.blob.core.windows.net/videos/21_burberry_My Burberry Fragrances.mp4	29770	Title+Desc+21_burberry_My Burberry Fragrances.mp4
22	22_spotify_❝Music For Every Mood❞ _ SPOTIFY 30-SECOND ADVERTISEMENT.mp4	148	https://cognitivestudy.blob.core.windows.net/videos/22_spotify_❝Music For Every Mood❞ _ SPOTIFY 30-SECOND ADVERTISEMENT.mp4	32650	Title+Desc+22_spotify_❝Music For Every Mood❞ _ SPOTIFY 30-SECOND ADVERTISEMENT.mp4
23	23_dunkin_No Apologies _ Dunkin'.mp4	264	https://cognitivestudy.blob.core.windows.net/videos/23_dunkin_No Apologies _ Dunkin'.mp4	30050	Title+Desc+23_dunkin_No Apologies _ Dunkin'.mp4
24	24_paypal_Get your summer underway with PayPal.mp4	277	https://cognitivestudy.blob.core.windows.net/videos/24_paypal_Get your summer underway with PayPal.mp4	30000	Title+Desc+24_paypal_Get your summer underway with PayPal.mp4
26	26_chanel_N°5 Comes in Red for a Limited Edition – CHANEL Fragrance.mp4	138	https://cognitivestudy.blob.core.windows.net/videos/26_chanel_N°5 Comes in Red for a Limited Edition – CHANEL Fragrance.mp4	15000	Title+Desc+26_chanel_N°5 Comes in Red for a Limited Edition – CHANEL Fragrance.mp4
27	27_burts bees_Burt's Bees Pop of Color.mp4	179	https://cognitivestudy.blob.core.windows.net/videos/27_burts bees_Burt's Bees Pop of Color.mp4	15020	Title+Desc+27_burts bees_Burt's Bees Pop of Color.mp4
28	28_cheetos_It's a Cheetos Thing®.mp4	72	https://cognitivestudy.blob.core.windows.net/videos/28_cheetos_It's a Cheetos Thing®.mp4	15160	Title+Desc+28_cheetos_It's a Cheetos Thing®.mp4
29	29_frito lay_Melt for You _ 0_30.mp4	79	https://cognitivestudy.blob.core.windows.net/videos/29_frito lay_Melt for You _ 0_30.mp4	30050	Title+Desc+29_frito lay_Melt for You _ 0_30.mp4
30	30_mac cosmetics_MAC The Moment _ MAC Cosmetics.mp4	256	https://cognitivestudy.blob.core.windows.net/videos/30_mac cosmetics_MAC The Moment _ MAC Cosmetics.mp4	35460	Title+Desc+30_mac cosmetics_MAC The Moment _ MAC Cosmetics.mp4
31	31_the farmer's dog_Healthy Habits _ The Farmer's Dog.mp4	215	https://cognitivestudy.blob.core.windows.net/videos/31_the farmer's dog_Healthy Habits _ The Farmer's Dog.mp4	30050	Title+Desc+31_the farmer's dog_Healthy Habits _ The Farmer's Dog.mp4
32	32_the body shop_Falling For You _ Most Loved at Lesser Prices _ Available at just Rs. 595.mp4	112	https://cognitivestudy.blob.core.windows.net/videos/32_the body shop_Falling For You _ Most Loved at Lesser Prices _ Available at just Rs. 595.mp4	15950	Title+Desc+32_the body shop_Falling For You _ Most Loved at Lesser Prices _ Available at just Rs. 595.mp4
33	33_fitbit (can get more but could get repititive)_Inspire Better Health with Gifts from Fitbit.mp4	30	https://cognitivestudy.blob.core.windows.net/videos/33_fitbit (can get more but could get repititive)_Inspire Better Health with Gifts from Fitbit.mp4	30050	Title+Desc+33_fitbit (can get more but could get repititive)_Inspire Better Health with Gifts from Fitbit.mp4
34	34_kfc_KFC _ H.A.R.L.A.N.D _ National Fried Chicken Day.mp4	60	https://cognitivestudy.blob.core.windows.net/videos/34_kfc_KFC _ H.A.R.L.A.N.D _ National Fried Chicken Day.mp4	34090	Title+Desc+34_kfc_KFC _ H.A.R.L.A.N.D _ National Fried Chicken Day.mp4
36	36_redbull_Table.mp4	129	https://cognitivestudy.blob.core.windows.net/videos/36_redbull_Table.mp4	15000	Title+Desc+36_redbull_Table.mp4
37	37_burger king_Burger King Full Meals _15 TV Commercial.mp4	246	https://cognitivestudy.blob.core.windows.net/videos/37_burger king_Burger King Full Meals _15 TV Commercial.mp4	15020	Title+Desc+37_burger king_Burger King Full Meals _15 TV Commercial.mp4
